BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),BuildingAge,SiteEnergyUse_log,PropertyGFATotal_log,Distance_to_Center,Neighborhood_Cluster,Is_Downtown,Rotated_Lat,Rotated_Lon,Surface_Cluster
NonResidential,Hotel,98105.0,4,NORTHEAST,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,84.0,3663534.5,15,15.11393894976178,11.391796839062748,6.03597845001104,4,0,102.43319067395079,-82.10031062867327,Surf_Group_0
NonResidential,Other,98101.0,7,DOWNTOWN,1.0,2,67224,0,67224,Automobile Dealership,Automobile Dealership,67224.0,72.0,1310236.625,86,14.085718308636734,11.115785605608053,0.9832821723552616,3,1,102.40120460119604,-82.13408912552745,Surf_Group_1
NonResidential,Hotel,98101.0,7,EAST,1.0,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,63.0,5328051.5,25,15.488496157071564,11.974619666344823,0.7859917021142739,3,1,102.39872121064252,-82.13376776691369,Surf_Group_0
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,10,171866,38281,133585,Hotel,Hotel,128909.0,57.0,11061916.0,15,16.219018775944377,12.054470382395586,1.3071688954444172,3,1,102.40308911334279,-82.1316731963131,Surf_Group_0
NonResidential,Hotel,98121.0,7,DOWNTOWN,1.0,5,68410,16200,52210,Hotel,Hotel,47994.0,57.0,4456714.5,38,15.309922393336711,11.133274291755043,1.2740359698081973,3,1,102.40723189593024,-82.14336870623927,Surf_Group_1
SPS-District K-12,K-12 School,98125.0,5,NORTH,1.0,2,160645,0,160645,K-12 School,K-12 School,164229.0,75.0,6779173.0,67,15.729365676075671,11.986952240499122,11.901085542537297,1,0,102.46452505303134,-82.0538833652644,Surf_Group_0
NonResidential,Small- and Mid-Sized Office,98070.0,4,LAKE UNION,1.0,3,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,73.0,4145920.5,110,15.237635396685478,11.37667036642411,6.438555285482413,4,0,102.44391144852186,-82.10985955492686,Surf_Group_0
NonResidential,Hotel,98105.0,4,NORTHEAST,1.0,4,81871,0,81871,Hotel,Hotel,81871.0,29.0,6668568.5,22,15.71291577716698,11.312900116782279,7.0622879003744625,4,0,102.4296446724704,-82.08168877394553,Surf_Group_1
NonResidential,Warehouse,98118.0,2,GREATER DUWAMISH,3.0,2,714095,0,714095,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,616000.0,60.0,44731160.0,55,17.61618090845081,13.478771285692215,11.033893075110885,8,0,102.29043704885589,-82.14947409704428,Surf_Group_0
SPS-District K-12,K-12 School,98199.0,7,MAGNOLIA / QUEEN ANNE,1.0,2,54986,0,54986,K-12 School,K-12 School,54986.0,97.0,1650279.25,26,14.316455073981123,10.91483388635787,7.118672956517063,5,0,102.46715652078788,-82.16490120111723,Surf_Group_1
SPS-District K-12,K-12 School,98115.0,4,NORTHEAST,1.0,2,175565,0,175565,K-12 School,K-12 School,182861.0,88.0,6399127.5,66,15.671672210911376,12.075764623688253,8.930403537531143,4,0,102.44176363645957,-82.06929943530986,Surf_Group_0
NonResidential,Small- and Mid-Sized Office,98107.0,6,BALLARD,1.0,2,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,55586.0,57.0,6186461.5,55,15.637873833388806,11.460578984598019,7.719558196604915,5,0,102.47223431348655,-82.15537619606162,Surf_Group_0
NonResidential,Small- and Mid-Sized Office,98144.0,2,GREATER DUWAMISH,1.0,2,52554,0,52554,"Office, Other - Education",Office,51029.0,83.0,2951331.25,116,14.897766897710223,10.869596491391144,3.2705797270317225,7,0,102.36144316070087,-82.1345402904077,Surf_Group_1
NonResidential,K-12 School,98103.0,6,NORTHWEST,1.0,3,175015,0,175015,K-12 School,K-12 School,175015.0,95.0,6994740.5,62,15.760669067466482,12.072626963518106,9.200520935690125,1,0,102.46757253878975,-82.10122176543332,Surf_Group_0
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,24,332210,205970,126240,Hotel,Hotel,348630.0,67.0,16163194.0,47,16.59824724004218,12.713522578056248,0.37479024632462005,3,1,102.39768682045909,-82.13907615056115,Surf_Group_0
NonResidential,Large Office,98101.0,7,DOWNTOWN,1.0,5,168115,0,168115,"Data Center, Office, Retail Store",Office,103362.0,78.0,9536161.0,43,16.070601551534008,12.032403548015358,0.659465630825373,3,1,102.40089030720205,-82.14094475236132,Surf_Group_0
NonResidential,Other,98101.0,7,DOWNTOWN,1.0,2,57428,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,51747.0,72.0,1247362.0,96,14.036541479246345,10.958287268247584,0.655903564412712,3,1,102.40095265348398,-82.14213273928934,Surf_Group_1
NonResidential,Small- and Mid-Sized Office,98101.0,7,DOWNTOWN,1.0,8,59400,0,59400,"Office, Retail Store",Office,34947.0,14.0,5071974.0,106,15.439240648903095,10.992049505350737,0.6466605635135613,3,1,102.40085516637095,-82.14252388665643,Surf_Group_1
NonResidential,Mixed Use Property,98101.0,7,DOWNTOWN,1.0,2,52549,0,52549,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,65.5,15026196.0,90,16.52530563588314,10.869501346628315,0.4977441472444874,3,1,102.3992022052168,-82.14290087395455,Surf_Group_1
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,20,98634,10043,88591,"Hotel, Parking, Restaurant",Hotel,83591.0,71.0,4841347.5,86,15.392703649035104,11.499171308737566,0.7016476485367689,3,1,102.40064731336794,-82.13846387469475,Surf_Group_0
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,34,994212,146694,847518,"Hotel, Parking, Swimming Pool",Hotel,994212.0,63.0,80469216.0,34,18.203385259313578,13.809705742575902,0.5282085835778653,3,1,102.3989179162784,-82.13838847106922,Surf_Group_0
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,7,71150,0,71150,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,98.0,5348309.0,31,15.492290994143676,11.172545603517998,0.8122363666065935,3,1,102.40213349341501,-82.14575801404547,Surf_Group_1
NonResidential,Hotel,98101.0,7,DOWNTOWN,1.0,7,122810,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,99.0,5401277.5,108,15.502146057629343,11.71839372460443,0.9017584548679631,3,1,102.40338181355298,-82.14476016794855,Surf_Group_0
NonResidential,Hotel,98109.0,7,LAKE UNION,1.0,5,113173,42546,70627,"Hotel, Parking",Hotel,70627.0,86.0,5284343.5,57,15.480258950081476,11.636672900400718,1.7664428229655116,9,1,102.41207348465844,-82.14319458390587,Surf_Group_0
NonResidential,Hotel,98109.0,7,LAKE UNION,1.0,7,150453,34735,115718,Hotel,Hotel,107547.0,84.0,6715187.0,16,15.719882235652989,11.92140602203885,1.730376252157303,9,1,102.411508388469,-82.1419158085946,Surf_Group_0
NonResidential,Hotel,98109.0,7,LAKE UNION,1.0,6,116300,28200,88100,Hotel,Hotel,88490.0,80.0,5827595.5,19,15.578115037574157,11.663928338506755,1.76793660311545,9,1,102.41191623456592,-82.14214221875612,Surf_Group_0
NonResidential,Hotel,98119.0,7,MAGNOLIA / QUEEN ANNE,1.0,6,155602,36744,118858,Hotel,Hotel,155602.0,81.0,6836900.0,18,15.737844970490881,11.95505674411426,2.579808266538041,9,0,102.42008391405784,-82.15632905461607,Surf_Group_0
NonResidential,K-12 School,98136.0,3,EAST,1.0,3,56072,0,56072,K-12 School,K-12 School,56072.0,76.0,3234787.75,105,14.989473873254628,10.934391858180161,3.623288565422267,0,0,102.40658281453753,-82.10456446428887,Surf_Group_1
NonResidential,Hotel,98109.0,7,MAGNOLIA / QUEEN ANNE,1.0,4,122942,44891,78051,"Hotel, Parking",Hotel,78051.0,94.0,5337334.0,17,15.490236835332803,11.719467978426936,2.3089168491763554,9,0,102.41690440006062,-82.14090197482949,Surf_Group_0
NonResidential,Small- and Mid-Sized Office,98122.0,3,CENTRAL,1.0,2,54984,0,54984,Office,Office,54984.0,71.0,3375211.0,54,15.031968398853085,10.91479751280144,1.7048034385549709,0,1,102.38471660921243,-82.11907108569704,Surf_Group_1
NonResidential,Senior Care Community,98126.0,1,SOUTHWEST,1.0,5,217603,0,217603,"Parking, Senior Care Community",Senior Care Community,296313.0,54.0,42792072.0,94,17.571863409749295,12.290427580633594,6.315570690885822,6,0,102.37551158257972,-82.20284751188419,Surf_Group_0
NonResidential,Senior Care Community,98133.0,5,NORTHWEST,1.0,2,93397,0,93397,Senior Care Community,Senior Care Community,93397.0,1.0,16402563.0,46,16.61294816107171,11.444614503786731,13.249013739528746,1,0,102.50841653681354,-82.10126564519476,Surf_Group_0
NonResidential,Hotel,98109.0,7,LAKE UNION,1.0,6,84103,20732,63371,"Hotel, Parking",Hotel,63371.0,74.0,3706100.25,8,15.125490736190127,11.339797517144078,1.5211467811956034,3,1,102.40608080516651,-82.13277495855237,Surf_Group_1
NonResidential,Medical Office,98122.0,3,EAST,0.0,3,179014,0,179014,Medical Office,Medical Office,179014.0,48.0,16701055.0,51,16.630982449044307,12.095219294054973,1.060590891428601,0,1,102.39428257616235,-82.12721982647784,Surf_Group_0
NonResidential,Hotel,98104.0,3,EAST,1.0,7,76631,0,76631,Hotel,Hotel,76631.0,71.0,7258758.5,108,15.797719366668227,11.246756973598734,0.4957606721919087,3,1,102.39405112826526,-82.13373894696078,Surf_Group_1
NonResidential,Mixed Use Property,98104.0,3,EAST,1.0,6,99780,9341,90439,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174.0,65.5,15473117.0,33,16.554614689002065,11.510723041415028,0.49711600059015326,3,1,102.39331213480125,-82.13351897273466,Surf_Group_0
NonResidential,Retail Store,98109.0,7,LAKE UNION,1.0,2,58320,0,58320,Retail Store,Retail Store,72072.0,96.0,1049748.625,87,13.864061288709907,10.97370036668254,1.8525123151562095,9,1,102.41120720842193,-82.13667414945085,Surf_Group_1
NonResidential,Large Office,98109.0,7,LAKE UNION,1.0,5,316306,0,316306,"Office, Other, Parking, Retail Store",Office,261826.0,96.0,13795954.0,6,16.439885918733513,12.664465378446737,2.0324045723525637,9,0,102.41203167592701,-82.13436216905885,Surf_Group_0
NonResidential,Hotel,98109.0,3,LAKE UNION,1.0,7,282863,44766,238097,"Hotel, Parking",Hotel,235788.0,37.0,19459304.0,26,16.78383586840935,12.552717960471723,2.2500131827650556,9,0,102.41231461130727,-82.13049222751269,Surf_Group_0
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,1.0,1,389000,0,389000,Other,Other,368000.0,72.0,23658978.0,54,16.9792532203153,12.871334622600584,2.4099546791383806,9,0,102.41892106105485,-82.15061493413316,Surf_Group_0
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,1.0,1,91213,0,91213,Other,Other,65000.0,72.0,8141155.5,54,15.912442681221258,11.420952709763661,2.4099546791383806,9,0,102.41892106105485,-82.15061493413316,Surf_Group_0
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,1.0,5,396085,0,396085,Other,Other,278500.0,72.0,20955026.0,78,16.857889080094537,12.889384113668008,2.4099546791383806,9,0,102.41892106105485,-82.15061493413316,Surf_Group_0
NonResidential,Large Office,98109.0,7,LAKE UNION,1.0,12,571329,0,571329,"Office, Other, Parking",Office,598801.0,91.0,39605888.0,6,17.494488352040598,13.255720504845556,1.6884967156192274,3,1,102.40924467666721,-82.1357749447402,Surf_Group_0
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,1.0,2,52000,0,52000,Other,Other,52000.0,72.0,2726369.0,54,14.818481245247327,10.858998997563564,2.4195049252546657,9,0,102.41893552855991,-82.14689999258698,Surf_Group_1
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,1.0,1,60696,0,60696,Other,Other,108000.0,72.0,875943.3125,88,13.683056656066642,11.01363307701791,2.4195049252546657,9,0,102.41893552855991,-82.14689999258698,Surf_Group_1
Nonresidential COS,Other,98109.0,7,MAGNOLIA / QUEEN ANNE,1.0,2,262048,0,262048,Other,Other,296000.0,72.0,20723248.0,88,16.846766719827258,12.476282972069916,2.4484523379974927,9,0,102.41926552855992,-82.14747156935348,Surf_Group_0
NonResidential,Small- and Mid-Sized Office,98109.0,7,MAGNOLIA / QUEEN ANNE,0.0,2,66240,2352,63888,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,45900.0,73.0,4166306.25,30,15.242540409863079,11.101039789059142,2.3163146208390604,9,0,102.41770088754376,-82.14484153161791,Surf_Group_1
NonResidential,Large Office,98109.0,7,MAGNOLIA / QUEEN ANNE,1.0,6,920598,303707,616891,"Office, Other, Parking",Office,729584.0,93.0,36667044.0,6,17.41738892594472,13.73277873786672,2.2035821835407625,9,0,102.41597337465683,-82.141289391527,Surf_Group_0
NonResidential,Small- and Mid-Sized Office,98033.0,7,MAGNOLIA / QUEEN ANNE,1.0,4,76213,25930,50283,"Office, Other, Parking",Office,48546.0,68.0,3476212.5,46,15.061453896985611,11.241287330798126,2.536040736015477,9,0,102.41979872167897,-82.15523508692594,Surf_Group_1
NonResidential,Hotel,98109.0,7,MAGNOLIA / QUEEN ANNE,1.0,6,96910,36934,59976,"Hotel, Parking",Hotel,59976.0,56.0,5155568.5,14,15.455587950632975,11.481537991728596,2.6378967334988586,9,0,102.42118986213998,-82.15288461288488,Surf_Group_0
NonResidential,Hotel,98105.0,4,NORTHEAST,2.0,4,50017,0,50017,"Hotel, Swimming Pool",Hotel,50017.0,53.0,5448975.0,54,15.510938075556913,10.82011822662338,5.831448646999225,4,0,102.43157620644571,-82.10125428892732,Surf_Group_1
NonResidential,K-12 School,98112.0,3,EAST,1.0,3,67743,0,67743,K-12 School,K-12 School,67743.0,34.0,2646879.0,93,14.788891768037471,11.123476412370751,2.7899652596016065,0,0,102.3990155474277,-82.1093375731802,Surf_Group_1
NonResidential,K-12 School,98112.0,3,EAST,1.0,6,194104,0,194104,K-12 School,K-12 School,194104.0,100.0,6219841.5,108,15.64325498207557,12.176149376878815,3.0676276263519813,0,0,102.39785193181532,-82.10540213181908,Surf_Group_0
NonResidential,Small- and Mid-Sized Office,98144.0,3,SOUTHEAST,1.0,3,99433,35752,63681,"Office, Parking",Office,63681.0,63.0,4897760.0,13,15.404288515702062,11.507239329499242,3.3765699091751245,7,0,102.35964709571103,-82.12394941459158,Surf_Group_0
SPS-District K-12,K-12 School,98108.0,2,GREATER DUWAMISH,1.0,1,130862,0,130862,K-12 School,K-12 School,134446.0,61.0,6456026.0,59,15.680524516185274,11.781898611816032,4.913036347644019,7,0,102.34778488890552,-82.14330346971457,Surf_Group_0
SPS-District K-12,K-12 School,98118.0,2,SOUTHEAST,1.0,3,59955,0,59955,K-12 School,K-12 School,59955.0,93.0,1633399.375,27,14.306173907268796,11.001349559813534,7.100918093047403,8,0,102.32162755138015,-82.11669763212987,Surf_Group_1
SPS-District K-12,K-12 School,98119.0,7,MAGNOLIA / QUEEN ANNE,1.0,2,93218,0,93218,K-12 School,K-12 School,93218.0,86.0,2887392.0,52,14.875864230515289,11.442696115073106,3.9563570533908354,9,0,102.43418493576065,-82.14755274064397,Surf_Group_0
NonResidential,Other,98115.0,4,NORTHEAST,1.0,4,56521,0,56521,Other,Other,49000.0,72.0,6357632.0,75,15.665166538941357,10.942367529494035,7.778911519790983,4,0,102.44563897152003,-82.09057171253092,Surf_Group_1
NonResidential,Other,98115.0,4,NORTHEAST,1.0,2,206934,0,206934,"Other, Parking",Other,119146.0,72.0,4253577.5,87,15.263270951521262,12.240155180827331,7.790979214756324,4,0,102.44711708041135,-82.0924318722298,Surf_Group_0
NonResidential,Hotel,98133.0,5,NORTHWEST,1.0,4,51390,0,51390,"Hotel, Parking",Hotel,51390.0,89.0,3611538.0,15,15.099644278361474,10.847198879986275,13.960459533348642,1,0,102.50951361845058,-82.0888658463302,Surf_Group_1
SPS-District K-12,K-12 School,98133.0,5,NORTHWEST,1.0,2,131013,0,131013,K-12 School,K-12 School,131909.0,88.0,3894584.5,53,15.175097556372132,11.78305183390088,13.262824599079194,1,0,102.50731696621293,-82.098621133048,Surf_Group_0
SPS-District K-12,K-12 School,98133.0,5,NORTHWEST,1.0,1,245587,0,245587,K-12 School,K-12 School,245587.0,92.0,11765682.0,57,16.280697547014274,12.411406542258106,13.29253373901889,1,0,102.50008861339498,-82.08396125871228,Surf_Group_0
NonResidential,Hotel,98133.0,5,NORTHWEST,1.0,3,69138,0,69138,Hotel,Hotel,70609.0,78.0,3242458.0,14,14.991842242120457,11.14385978624207,13.28863685186255,1,0,102.50265406856826,-82.08878475741693,Surf_Group_1
NonResidential,Hotel,98104.0,7,DOWNTOWN,1.0,5,190980,0,190980,"Hotel, Parking",Hotel,190980.0,98.0,6505995.0,112,15.688234617493773,12.159923989504193,0.3852202381426169,3,1,102.39536614207744,-82.14437661769612,Surf_Group_0
Nonresidential COS,Other,98111.0,7,DOWNTOWN,1.0,6,284100,0,284100,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,189750.0,72.0,14641502.0,18,16.499370656863285,12.55708156784228,0.40098205141890947,3,1,102.3981220643857,-82.14267001515574,Surf_Group_0
NonResidential,Hospital,98107.0,6,BALLARD,4.0,5,285333,0,285333,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),302661.0,14.0,68090728.0,62,18.036351609133526,12.561412198230787,7.67525459104652,5,0,102.47093335159224,-82.15012286396194,Surf_Group_0
SPS-District K-12,K-12 School,98107.0,6,Ballard,1.0,2,55513,0,55513,K-12 School,K-12 School,59097.0,93.0,1513570.75,25,14.22998215230444,10.924372506540205,7.508803976496101,5,0,102.46507561364646,-82.13351696422245,Surf_Group_1
Nonresidential COS,Other,98104.0,2,DOWNTOWN,1.0,4,61156,0,61156,"Office, Other",Other,42755.0,72.0,9363374.0,10,16.052316253585513,11.021183255680505,0.6485436391850385,3,1,102.38770416859151,-82.13846569033225,Surf_Group_1
